S,I,R,SuperSpreader
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,18.0,41.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,17.0,42.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,16.0,43.0,1.0
151.0,15.0,44.0,1.0
151.0,15.0,44.0,1.0
151.0,14.0,45.0,1.0
151.0,14.0,45.0,1.0
151.0,14.0,45.0,1.0
151.0,14.0,45.0,1.0
151.0,14.0,45.0,1.0
151.0,14.0,45.0,1.0
151.0,14.0,45.0,1.0
151.0,14.0,45.0,1.0
151.0,14.0,45.0,1.0
151.0,14.0,45.0,1.0
151.0,14.0,45.0,1.0
151.0,14.0,45.0,1.0
